region,year,crop,target_yield_centner_per_ha,sown_area,gross_harvest
Агинский Бурятский округ (Забайкальский край),2004,конопля среднерусская - в переводе на волокно,,,
Агинский Бурятский округ (Забайкальский край),2005,конопля среднерусская - в переводе на волокно,,,
Агинский Бурятский округ (Забайкальский край),2006,конопля среднерусская - в переводе на волокно,,,
Агинский Бурятский округ (Забайкальский край),2007,конопля среднерусская - в переводе на волокно,,,
Агинский Бурятский округ (Забайкальский край),2008,конопля среднерусская - в переводе на волокно,,,
Агинский Бурятский округ (Забайкальский край),2009,конопля среднерусская - в переводе на волокно,,,
Агинский Бурятский округ (Забайкальский край),2010,конопля среднерусская - в переводе на волокно,,,
Агинский Бурятский округ (Забайкальский край),2011,конопля среднерусская - в переводе на волокно,,,
Агинский Бурятский округ (Забайкальский край),2012,конопля среднерусская - в переводе на волокно,,,
Агинский Бурятский округ (Забайкальский край),2013,конопля среднерусская - в переводе на волокно,,,
Агинский Бурятский округ (Забайкальский край),2014,конопля среднерусская - в переводе на волокно,,,
Агинский Бурятский округ (Забайкальский край),2015,конопля среднерусская - в переводе на волокно,,,
Агинский Бурятский округ (Забайкальский край),2016,конопля среднерусская - в переводе на волокно,,,
Агинский Бурятский округ (Забайкальский край),2017,конопля среднерусская - в переводе на волокно,,,
Агинский Бурятский округ (Забайкальский край),2018,конопля среднерусская - в переводе на волокно,,,
Агинский Бурятский округ (Забайкальский край),2019,конопля среднерусская - в переводе на волокно,,,
Агинский Бурятский округ (Забайкальский край),2020,конопля среднерусская - в переводе на волокно,,,
Агинский Бурятский округ (Забайкальский край),2021,конопля среднерусская - в переводе на волокно,,,
Агинский Бурятский округ (Забайкальский край),2022,конопля среднерусская - в переводе на волокно,,,
Агинский Бурятский округ (Забайкальский край),2023,конопля среднерусская - в переводе на волокно,,,
Агинский Бурятский округ (Забайкальский край),2024,конопля среднерусская - в переводе на волокно,,,
Агинский Бурятский округ (Забайкальский край),2025,конопля среднерусская - в переводе на волокно,,,
Агинский Бурятский округ (Забайкальский край),2023,кукуруза на  корм,,,
Агинский Бурятский округ (Забайкальский край),2000,кукуруза на зерно,,,
Агинский Бурятский округ (Забайкальский край),2001,кукуруза на зерно,,,
Агинский Бурятский округ (Забайкальский край),2002,кукуруза на зерно,,,
Агинский Бурятский округ (Забайкальский край),2003,кукуруза на зерно,,,
Агинский Бурятский округ (Забайкальский край),2004,кукуруза на зерно,,,
Агинский Бурятский округ (Забайкальский край),2005,кукуруза на зерно,,,
Агинский Бурятский округ (Забайкальский край),2006,кукуруза на зерно,,,
Агинский Бурятский округ (Забайкальский край),2007,кукуруза на зерно,,,
Агинский Бурятский округ (Забайкальский край),2008,кукуруза на зерно,,,
Агинский Бурятский округ (Забайкальский край),2009,кукуруза на зерно,,,
Агинский Бурятский округ (Забайкальский край),2010,кукуруза на зерно,,,
Агинский Бурятский округ (Забайкальский край),2011,кукуруза на зерно,,,
Агинский Бурятский округ (Забайкальский край),2012,кукуруза на зерно,,,
