region,crop,year,target_yield_centner_per_ha,sown_area,gross_harvest
Архангельская область,сельскохозяйственные организации (все сельхозпредприятия),2020,,,
Архангельская область,сельскохозяйственные организации (все сельхозпредприятия),2021,,,
Архангельская область,сельскохозяйственные организации (все сельхозпредприятия),2022,,,
Архангельская область,сельскохозяйственные организации (все сельхозпредприятия),2023,,,
Архангельская область,сельскохозяйственные организации (все сельхозпредприятия),2024,,,
Архангельская область,сельскохозяйственные организации (все сельхозпредприятия),2025,,,
Архангельская область (кроме Ненецкого автономного округа),горох,2000,,,
Архангельская область (кроме Ненецкого автономного округа),горох,2001,,,
Архангельская область (кроме Ненецкого автономного округа),горох,2002,,,
Архангельская область (кроме Ненецкого автономного округа),горох,2003,,,
Архангельская область (кроме Ненецкого автономного округа),горох,2004,,,
Архангельская область (кроме Ненецкого автономного округа),горох,2005,,,
Архангельская область (кроме Ненецкого автономного округа),горох,2006,,,
Архангельская область (кроме Ненецкого автономного округа),горох,2007,,,
Архангельская область (кроме Ненецкого автономного округа),горох,2008,,,
Архангельская область (кроме Ненецкого автономного округа),горох,2009,,,
Архангельская область (кроме Ненецкого автономного округа),горох,2010,,,
Архангельская область (кроме Ненецкого автономного округа),горох,2011,10.0,0.0,0.0
Архангельская область (кроме Ненецкого автономного округа),горох,2012,,,
Архангельская область (кроме Ненецкого автономного округа),горох,2013,,0.0,
Архангельская область (кроме Ненецкого автономного округа),горох,2014,,,
Архангельская область (кроме Ненецкого автономного округа),горох,2015,34.5,0.1,3.38
Архангельская область (кроме Ненецкого автономного округа),горох,2016,26.3,0.08,2.16
Архангельская область (кроме Ненецкого автономного округа),горох,2017,,0.0,
Архангельская область (кроме Ненецкого автономного округа),горох,2018,,,
Архангельская область (кроме Ненецкого автономного округа),горох,2019,,,
Архангельская область (кроме Ненецкого автономного округа),горох,2020,,,
Архангельская область (кроме Ненецкого автономного округа),горох,2021,,,
Архангельская область (кроме Ненецкого автономного округа),горох,2022,,,
Архангельская область (кроме Ненецкого автономного округа),горох,2023,,,
Архангельская область (кроме Ненецкого автономного округа),горох,2024,32.68,0.07,
Архангельская область (кроме Ненецкого автономного округа),горох,2025,,,
Архангельская область (кроме Ненецкого автономного округа),зерновые и зернобобовые культуры,2000,,,
Архангельская область (кроме Ненецкого автономного округа),зерновые и зернобобовые культуры,2001,,,
Архангельская область (кроме Ненецкого автономного округа),зерновые и зернобобовые культуры,2002,,,
Архангельская область (кроме Ненецкого автономного округа),зерновые и зернобобовые культуры,2003,,,
Архангельская область (кроме Ненецкого автономного округа),зерновые и зернобобовые культуры,2004,,,
Архангельская область (кроме Ненецкого автономного округа),зерновые и зернобобовые культуры,2005,,,
Архангельская область (кроме Ненецкого автономного округа),зерновые и зернобобовые культуры,2006,,,
Архангельская область (кроме Ненецкого автономного округа),зерновые и зернобобовые культуры,2007,,3.23,54.15
Архангельская область (кроме Ненецкого автономного округа),зерновые и зернобобовые культуры,2008,,1.84,24.65
Архангельская область (кроме Ненецкого автономного округа),зерновые и зернобобовые культуры,2009,17.9,1.81,30.46
Архангельская область (кроме Ненецкого автономного округа),зерновые и зернобобовые культуры,2010,15.5,2.24,34.47
Архангельская область (кроме Ненецкого автономного округа),зерновые и зернобобовые культуры,2011,22.7,3.16,71.34
Архангельская область (кроме Ненецкого автономного округа),зерновые и зернобобовые культуры,2012,16.8,2.69,37.18
Архангельская область (кроме Ненецкого автономного округа),зерновые и зернобобовые культуры,2013,14.9,2.42,35.94
Архангельская область (кроме Ненецкого автономного округа),зерновые и зернобобовые культуры,2014,18.6,3.02,56.11
Архангельская область (кроме Ненецкого автономного округа),зерновые и зернобобовые культуры,2015,18.3,2.8,50.72
Архангельская область (кроме Ненецкого автономного округа),зерновые и зернобобовые культуры,2016,14.5,3.17,45.88
Архангельская область (кроме Ненецкого автономного округа),зерновые и зернобобовые культуры,2017,19.5,1.29,15.74
Архангельская область (кроме Ненецкого автономного округа),зерновые и зернобобовые культуры,2018,18.7,1.07,20.02
Архангельская область (кроме Ненецкого автономного округа),зерновые и зернобобовые культуры,2019,17.6,0.82,11.85
Архангельская область (кроме Ненецкого автономного округа),зерновые и зернобобовые культуры,2020,20.9,0.31,6.46
Архангельская область (кроме Ненецкого автономного округа),зерновые и зернобобовые культуры,2021,13.2,0.48,6.37
Архангельская область (кроме Ненецкого автономного округа),зерновые и зернобобовые культуры,2022,23.73,0.62,13.99
Архангельская область (кроме Ненецкого автономного округа),зерновые и зернобобовые культуры,2023,23.01,0.29,
Архангельская область (кроме Ненецкого автономного округа),зерновые и зернобобовые культуры,2024,24.12,0.29,
Архангельская область (кроме Ненецкого автономного округа),зерновые и зернобобовые культуры,2025,,0.49,
Архангельская область (кроме Ненецкого автономного округа),кабачки,2000,,,
Архангельская область (кроме Ненецкого автономного округа),кабачки,2001,,,
Архангельская область (кроме Ненецкого автономного округа),кабачки,2002,,,
Архангельская область (кроме Ненецкого автономного округа),кабачки,2003,,,
Архангельская область (кроме Ненецкого автономного округа),кабачки,2004,,,
Архангельская область (кроме Ненецкого автономного округа),кабачки,2005,,,
Архангельская область (кроме Ненецкого автономного округа),кабачки,2006,,,
Архангельская область (кроме Ненецкого автономного округа),кабачки,2007,,,
Архангельская область (кроме Ненецкого автономного округа),кабачки,2008,,,
Архангельская область (кроме Ненецкого автономного округа),кабачки,2009,,,
Архангельская область (кроме Ненецкого автономного округа),кабачки,2010,,,
Архангельская область (кроме Ненецкого автономного округа),кабачки,2011,,,
Архангельская область (кроме Ненецкого автономного округа),кабачки,2012,,,
Архангельская область (кроме Ненецкого автономного округа),кабачки,2013,,,
Архангельская область (кроме Ненецкого автономного округа),кабачки,2014,,,
Архангельская область (кроме Ненецкого автономного округа),кабачки,2015,,,
Архангельская область (кроме Ненецкого автономного округа),кабачки,2016,,,
Архангельская область (кроме Ненецкого автономного округа),кабачки,2017,,,
Архангельская область (кроме Ненецкого автономного округа),кабачки,2018,,,
Архангельская область (кроме Ненецкого автономного округа),кабачки,2019,,,
Архангельская область (кроме Ненецкого автономного округа),кабачки,2020,,,
Архангельская область (кроме Ненецкого автономного округа),кабачки,2021,,,
Архангельская область (кроме Ненецкого автономного округа),кабачки,2022,,,
Архангельская область (кроме Ненецкого автономного округа),кабачки,2023,,,
Архангельская область (кроме Ненецкого автономного округа),кабачки,2024,,,
Архангельская область (кроме Ненецкого автономного округа),кабачки,2025,,,
Архангельская область (кроме Ненецкого автономного округа),картофель,2000,,,
Архангельская область (кроме Ненецкого автономного округа),картофель,2001,,,
Архангельская область (кроме Ненецкого автономного округа),картофель,2002,,,
Архангельская область (кроме Ненецкого автономного округа),картофель,2003,,,
Архангельская область (кроме Ненецкого автономного округа),картофель,2004,,,
Архангельская область (кроме Ненецкого автономного округа),картофель,2005,,,
Архангельская область (кроме Ненецкого автономного округа),картофель,2006,,,
Архангельская область (кроме Ненецкого автономного округа),картофель,2007,107.0,11.21,1014.05
Архангельская область (кроме Ненецкого автономного округа),картофель,2008,132.0,10.57,1177.75
Архангельская область (кроме Ненецкого автономного округа),картофель,2009,117.5,9.94,1166.59
Архангельская область (кроме Ненецкого автономного округа),картофель,2010,114.2,9.78,1114.02
Архангельская область (кроме Ненецкого автономного округа),картофель,2011,133.3,9.37,1249.34
Архангельская область (кроме Ненецкого автономного округа),картофель,2012,131.4,8.95,1169.17
Архангельская область (кроме Ненецкого автономного округа),картофель,2013,131.2,8.52,1113.17
Архангельская область (кроме Ненецкого автономного округа),картофель,2014,134.3,8.22,1098.84
Архангельская область (кроме Ненецкого автономного округа),картофель,2015,138.4,7.72,1062.55
Архангельская область (кроме Ненецкого автономного округа),картофель,2016,144.8,7.38,1067.82
Архангельская область (кроме Ненецкого автономного округа),картофель,2017,93.6,6.88,612.41
Архангельская область (кроме Ненецкого автономного округа),картофель,2018,141.8,6.44,910.57
Архангельская область (кроме Ненецкого автономного округа),картофель,2019,135.4,6.11,803.26
Архангельская область (кроме Ненецкого автономного округа),картофель,2020,136.1,5.94,790.64
Архангельская область (кроме Ненецкого автономного округа),картофель,2021,144.1,6.13,880.28
Архангельская область (кроме Ненецкого автономного округа),картофель,2022,141.71,5.71,808.51
Архангельская область (кроме Ненецкого автономного округа),картофель,2023,149.08,5.36,
Архангельская область (кроме Ненецкого автономного округа),картофель,2024,135.77,5.17,
Архангельская область (кроме Ненецкого автономного округа),картофель,2025,,4.85,
Архангельская область (кроме Ненецкого автономного округа),конопля среднерусская - в переводе на волокно,2000,,,
Архангельская область (кроме Ненецкого автономного округа),конопля среднерусская - в переводе на волокно,2001,,,
Архангельская область (кроме Ненецкого автономного округа),конопля среднерусская - в переводе на волокно,2002,,,
Архангельская область (кроме Ненецкого автономного округа),конопля среднерусская - в переводе на волокно,2003,,,
Архангельская область (кроме Ненецкого автономного округа),конопля среднерусская - в переводе на волокно,2004,,,
Архангельская область (кроме Ненецкого автономного округа),конопля среднерусская - в переводе на волокно,2005,,,
Архангельская область (кроме Ненецкого автономного округа),конопля среднерусская - в переводе на волокно,2006,,,
Архангельская область (кроме Ненецкого автономного округа),конопля среднерусская - в переводе на волокно,2007,,,
Архангельская область (кроме Ненецкого автономного округа),конопля среднерусская - в переводе на волокно,2008,,,
Архангельская область (кроме Ненецкого автономного округа),конопля среднерусская - в переводе на волокно,2009,,,
Архангельская область (кроме Ненецкого автономного округа),конопля среднерусская - в переводе на волокно,2010,,,
Архангельская область (кроме Ненецкого автономного округа),конопля среднерусская - в переводе на волокно,2011,,,
Архангельская область (кроме Ненецкого автономного округа),конопля среднерусская - в переводе на волокно,2012,,,
Архангельская область (кроме Ненецкого автономного округа),конопля среднерусская - в переводе на волокно,2013,,0.0,
Архангельская область (кроме Ненецкого автономного округа),конопля среднерусская - в переводе на волокно,2014,,,
Архангельская область (кроме Ненецкого автономного округа),конопля среднерусская - в переводе на волокно,2015,,,
Архангельская область (кроме Ненецкого автономного округа),конопля среднерусская - в переводе на волокно,2016,,,
Архангельская область (кроме Ненецкого автономного округа),конопля среднерусская - в переводе на волокно,2017,,,
Архангельская область (кроме Ненецкого автономного округа),конопля среднерусская - в переводе на волокно,2018,,,
Архангельская область (кроме Ненецкого автономного округа),конопля среднерусская - в переводе на волокно,2019,,,
Архангельская область (кроме Ненецкого автономного округа),конопля среднерусская - в переводе на волокно,2020,,,
Архангельская область (кроме Ненецкого автономного округа),конопля среднерусская - в переводе на волокно,2021,,,
Архангельская область (кроме Ненецкого автономного округа),конопля среднерусская - в переводе на волокно,2022,,,
Архангельская область (кроме Ненецкого автономного округа),конопля среднерусская - в переводе на волокно,2023,,,
Архангельская область (кроме Ненецкого автономного округа),конопля среднерусская - в переводе на волокно,2024,,,
Архангельская область (кроме Ненецкого автономного округа),конопля среднерусская - в переводе на волокно,2025,,,
Архангельская область (кроме Ненецкого автономного округа),кукуруза на  корм,2000,,,
Архангельская область (кроме Ненецкого автономного округа),кукуруза на  корм,2001,,,
Архангельская область (кроме Ненецкого автономного округа),кукуруза на  корм,2002,,,
Архангельская область (кроме Ненецкого автономного округа),кукуруза на  корм,2003,,,
Архангельская область (кроме Ненецкого автономного округа),кукуруза на  корм,2004,,,
Архангельская область (кроме Ненецкого автономного округа),кукуруза на  корм,2005,,,
Архангельская область (кроме Ненецкого автономного округа),кукуруза на  корм,2006,,,
Архангельская область (кроме Ненецкого автономного округа),кукуруза на  корм,2007,,,
Архангельская область (кроме Ненецкого автономного округа),кукуруза на  корм,2008,,,
Архангельская область (кроме Ненецкого автономного округа),кукуруза на  корм,2009,,,
Архангельская область (кроме Ненецкого автономного округа),кукуруза на  корм,2010,,,
Архангельская область (кроме Ненецкого автономного округа),кукуруза на  корм,2011,,,
Архангельская область (кроме Ненецкого автономного округа),кукуруза на  корм,2012,,,
Архангельская область (кроме Ненецкого автономного округа),кукуруза на  корм,2013,,,
Архангельская область (кроме Ненецкого автономного округа),кукуруза на  корм,2014,,,
Архангельская область (кроме Ненецкого автономного округа),кукуруза на  корм,2015,,,
Архангельская область (кроме Ненецкого автономного округа),кукуруза на  корм,2016,,,
Архангельская область (кроме Ненецкого автономного округа),кукуруза на  корм,2017,,,
Архангельская область (кроме Ненецкого автономного округа),кукуруза на  корм,2018,,,
Архангельская область (кроме Ненецкого автономного округа),кукуруза на  корм,2019,,,
Архангельская область (кроме Ненецкого автономного округа),кукуруза на  корм,2020,,,
Архангельская область (кроме Ненецкого автономного округа),кукуруза на  корм,2021,,,
Архангельская область (кроме Ненецкого автономного округа),кукуруза на  корм,2022,,,
Архангельская область (кроме Ненецкого автономного округа),кукуруза на  корм,2023,,0.1,
Архангельская область (кроме Ненецкого автономного округа),кукуруза на  корм,2024,,,
Архангельская область (кроме Ненецкого автономного округа),кукуруза на  корм,2025,,,
Архангельская область (кроме Ненецкого автономного округа),кукуруза на зерно,2000,,,
Архангельская область (кроме Ненецкого автономного округа),кукуруза на зерно,2001,,,
Архангельская область (кроме Ненецкого автономного округа),кукуруза на зерно,2002,,,
Архангельская область (кроме Ненецкого автономного округа),кукуруза на зерно,2003,,,
Архангельская область (кроме Ненецкого автономного округа),кукуруза на зерно,2004,,,
Архангельская область (кроме Ненецкого автономного округа),кукуруза на зерно,2005,,,
Архангельская область (кроме Ненецкого автономного округа),кукуруза на зерно,2006,,,
Архангельская область (кроме Ненецкого автономного округа),кукуруза на зерно,2007,,,
Архангельская область (кроме Ненецкого автономного округа),кукуруза на зерно,2008,,,
Архангельская область (кроме Ненецкого автономного округа),кукуруза на зерно,2009,,,
Архангельская область (кроме Ненецкого автономного округа),кукуруза на зерно,2010,,,
Архангельская область (кроме Ненецкого автономного округа),кукуруза на зерно,2011,,,
Архангельская область (кроме Ненецкого автономного округа),кукуруза на зерно,2012,,,
Архангельская область (кроме Ненецкого автономного округа),кукуруза на зерно,2013,,0.0,
Архангельская область (кроме Ненецкого автономного округа),кукуруза на зерно,2014,,,
Архангельская область (кроме Ненецкого автономного округа),кукуруза на зерно,2015,,,
Архангельская область (кроме Ненецкого автономного округа),кукуруза на зерно,2016,,,
Архангельская область (кроме Ненецкого автономного округа),кукуруза на зерно,2017,,,
Архангельская область (кроме Ненецкого автономного округа),кукуруза на зерно,2018,,,
Архангельская область (кроме Ненецкого автономного округа),кукуруза на зерно,2019,,,
Архангельская область (кроме Ненецкого автономного округа),кукуруза на зерно,2020,,,
Архангельская область (кроме Ненецкого автономного округа),кукуруза на зерно,2021,,,
Архангельская область (кроме Ненецкого автономного округа),кукуруза на зерно,2022,,,
Архангельская область (кроме Ненецкого автономного округа),кукуруза на зерно,2023,,,
Архангельская область (кроме Ненецкого автономного округа),кукуруза на зерно,2024,,,
Архангельская область (кроме Ненецкого автономного округа),кукуруза на зерно,2025,,,
Архангельская область (кроме Ненецкого автономного округа),морковь столовая,2000,,,
Архангельская область (кроме Ненецкого автономного округа),морковь столовая,2001,,,
Архангельская область (кроме Ненецкого автономного округа),морковь столовая,2002,,,
Архангельская область (кроме Ненецкого автономного округа),морковь столовая,2003,,,
Архангельская область (кроме Ненецкого автономного округа),морковь столовая,2004,,,
Архангельская область (кроме Ненецкого автономного округа),морковь столовая,2005,,,
Архангельская область (кроме Ненецкого автономного округа),морковь столовая,2006,,,
Архангельская область (кроме Ненецкого автономного округа),морковь столовая,2007,,,
Архангельская область (кроме Ненецкого автономного округа),морковь столовая,2008,,,
Архангельская область (кроме Ненецкого автономного округа),морковь столовая,2009,,,
Архангельская область (кроме Ненецкого автономного округа),морковь столовая,2010,,,
Архангельская область (кроме Ненецкого автономного округа),морковь столовая,2011,,,
Архангельская область (кроме Ненецкого автономного округа),морковь столовая,2012,,,
Архангельская область (кроме Ненецкого автономного округа),морковь столовая,2013,,,
Архангельская область (кроме Ненецкого автономного округа),морковь столовая,2014,,,
Архангельская область (кроме Ненецкого автономного округа),морковь столовая,2015,,,
Архангельская область (кроме Ненецкого автономного округа),морковь столовая,2016,,,
Архангельская область (кроме Ненецкого автономного округа),морковь столовая,2017,,,
Архангельская область (кроме Ненецкого автономного округа),морковь столовая,2018,,,
Архангельская область (кроме Ненецкого автономного округа),морковь столовая,2019,,,
Архангельская область (кроме Ненецкого автономного округа),морковь столовая,2020,,,
Архангельская область (кроме Ненецкого автономного округа),морковь столовая,2021,,,
Архангельская область (кроме Ненецкого автономного округа),морковь столовая,2022,,,
Архангельская область (кроме Ненецкого автономного округа),морковь столовая,2023,,,
Архангельская область (кроме Ненецкого автономного округа),морковь столовая,2024,,,
Архангельская область (кроме Ненецкого автономного округа),морковь столовая,2025,,,
Архангельская область (кроме Ненецкого автономного округа),огурцы,2000,,,
Архангельская область (кроме Ненецкого автономного округа),огурцы,2001,,,
Архангельская область (кроме Ненецкого автономного округа),огурцы,2002,,,
Архангельская область (кроме Ненецкого автономного округа),огурцы,2003,,,
Архангельская область (кроме Ненецкого автономного округа),огурцы,2004,,,
Архангельская область (кроме Ненецкого автономного округа),огурцы,2005,,,
Архангельская область (кроме Ненецкого автономного округа),огурцы,2006,,,
Архангельская область (кроме Ненецкого автономного округа),огурцы,2007,,,
Архангельская область (кроме Ненецкого автономного округа),огурцы,2008,,,
Архангельская область (кроме Ненецкого автономного округа),огурцы,2009,,,
Архангельская область (кроме Ненецкого автономного округа),огурцы,2010,,,
Архангельская область (кроме Ненецкого автономного округа),огурцы,2011,,,
Архангельская область (кроме Ненецкого автономного округа),огурцы,2012,,,
Архангельская область (кроме Ненецкого автономного округа),огурцы,2013,,,
Архангельская область (кроме Ненецкого автономного округа),огурцы,2014,,,
Архангельская область (кроме Ненецкого автономного округа),огурцы,2015,,,
Архангельская область (кроме Ненецкого автономного округа),огурцы,2016,,,
Архангельская область (кроме Ненецкого автономного округа),огурцы,2017,,,
Архангельская область (кроме Ненецкого автономного округа),огурцы,2018,,,
Архангельская область (кроме Ненецкого автономного округа),огурцы,2019,,,
Архангельская область (кроме Ненецкого автономного округа),огурцы,2020,,,
Архангельская область (кроме Ненецкого автономного округа),огурцы,2021,,,
Архангельская область (кроме Ненецкого автономного округа),огурцы,2022,,,
Архангельская область (кроме Ненецкого автономного округа),огурцы,2023,,,
Архангельская область (кроме Ненецкого автономного округа),огурцы,2024,,,
Архангельская область (кроме Ненецкого автономного округа),огурцы,2025,,,
Архангельская область (кроме Ненецкого автономного округа),озимые зерновые культуры,2000,,,
Архангельская область (кроме Ненецкого автономного округа),озимые зерновые культуры,2001,,,
Архангельская область (кроме Ненецкого автономного округа),озимые зерновые культуры,2002,,,
Архангельская область (кроме Ненецкого автономного округа),озимые зерновые культуры,2003,,,
Архангельская область (кроме Ненецкого автономного округа),озимые зерновые культуры,2004,,,
Архангельская область (кроме Ненецкого автономного округа),озимые зерновые культуры,2005,,,
Архангельская область (кроме Ненецкого автономного округа),озимые зерновые культуры,2006,,,
Архангельская область (кроме Ненецкого автономного округа),озимые зерновые культуры,2007,,0.23,
Архангельская область (кроме Ненецкого автономного округа),озимые зерновые культуры,2008,,0.02,
Архангельская область (кроме Ненецкого автономного округа),озимые зерновые культуры,2009,8.5,0.02,
Архангельская область (кроме Ненецкого автономного округа),озимые зерновые культуры,2010,,,
Архангельская область (кроме Ненецкого автономного округа),озимые зерновые культуры,2011,35.7,0.01,
Архангельская область (кроме Ненецкого автономного округа),озимые зерновые культуры,2012,21.7,0.13,
Архангельская область (кроме Ненецкого автономного округа),озимые зерновые культуры,2013,7.4,0.02,
Архангельская область (кроме Ненецкого автономного округа),озимые зерновые культуры,2014,,,
Архангельская область (кроме Ненецкого автономного округа),озимые зерновые культуры,2015,28.1,0.13,
Архангельская область (кроме Ненецкого автономного округа),озимые зерновые культуры,2016,20.7,0.19,
Архангельская область (кроме Ненецкого автономного округа),озимые зерновые культуры,2017,14.5,0.15,
Архангельская область (кроме Ненецкого автономного округа),озимые зерновые культуры,2018,,,
Архангельская область (кроме Ненецкого автономного округа),озимые зерновые культуры,2019,,,
Архангельская область (кроме Ненецкого автономного округа),озимые зерновые культуры,2020,,,
Архангельская область (кроме Ненецкого автономного округа),озимые зерновые культуры,2021,,,
Архангельская область (кроме Ненецкого автономного округа),озимые зерновые культуры,2022,9.62,0.0,
Архангельская область (кроме Ненецкого автономного округа),озимые зерновые культуры,2023,21.7,0.0,
Архангельская область (кроме Ненецкого автономного округа),озимые зерновые культуры,2024,19.71,0.0,
Архангельская область (кроме Ненецкого автономного округа),озимые зерновые культуры,2025,,0.24,
Архангельская область (кроме Ненецкого автономного округа),подсолнечник,2000,,,
Архангельская область (кроме Ненецкого автономного округа),подсолнечник,2001,,,
Архангельская область (кроме Ненецкого автономного округа),подсолнечник,2002,,,
Архангельская область (кроме Ненецкого автономного округа),подсолнечник,2003,,,
Архангельская область (кроме Ненецкого автономного округа),подсолнечник,2004,,,
Архангельская область (кроме Ненецкого автономного округа),подсолнечник,2005,,,
Архангельская область (кроме Ненецкого автономного округа),подсолнечник,2006,,,
Архангельская область (кроме Ненецкого автономного округа),подсолнечник,2007,,,
Архангельская область (кроме Ненецкого автономного округа),подсолнечник,2008,,,
Архангельская область (кроме Ненецкого автономного округа),подсолнечник,2009,,,
Архангельская область (кроме Ненецкого автономного округа),подсолнечник,2010,,,
Архангельская область (кроме Ненецкого автономного округа),подсолнечник,2011,,,
Архангельская область (кроме Ненецкого автономного округа),подсолнечник,2012,,,
Архангельская область (кроме Ненецкого автономного округа),подсолнечник,2013,,0.0,
Архангельская область (кроме Ненецкого автономного округа),подсолнечник,2014,,,
Архангельская область (кроме Ненецкого автономного округа),подсолнечник,2015,,,
Архангельская область (кроме Ненецкого автономного округа),подсолнечник,2016,,,
Архангельская область (кроме Ненецкого автономного округа),подсолнечник,2017,,,
Архангельская область (кроме Ненецкого автономного округа),подсолнечник,2018,,,
Архангельская область (кроме Ненецкого автономного округа),подсолнечник,2019,,,
Архангельская область (кроме Ненецкого автономного округа),подсолнечник,2020,,,
Архангельская область (кроме Ненецкого автономного округа),подсолнечник,2021,,,
Архангельская область (кроме Ненецкого автономного округа),подсолнечник,2022,,,
Архангельская область (кроме Ненецкого автономного округа),подсолнечник,2023,,,
Архангельская область (кроме Ненецкого автономного округа),подсолнечник,2024,,,
Архангельская область (кроме Ненецкого автономного округа),подсолнечник,2025,,,
