region,crop,year,target_yield_centner_per_ha,sown_area,gross_harvest
Агинский Бурятский округ (Забайкальский край),картофель,2012,,,
Агинский Бурятский округ (Забайкальский край),картофель,2013,,,
Агинский Бурятский округ (Забайкальский край),картофель,2014,,,
Агинский Бурятский округ (Забайкальский край),картофель,2015,,,
Агинский Бурятский округ (Забайкальский край),картофель,2016,,,
Агинский Бурятский округ (Забайкальский край),картофель,2017,,,
Агинский Бурятский округ (Забайкальский край),картофель,2018,,,
Агинский Бурятский округ (Забайкальский край),картофель,2019,,,
Агинский Бурятский округ (Забайкальский край),картофель,2020,,,
Агинский Бурятский округ (Забайкальский край),картофель,2021,,,
Агинский Бурятский округ (Забайкальский край),картофель,2022,,,
Агинский Бурятский округ (Забайкальский край),картофель,2023,,,
Агинский Бурятский округ (Забайкальский край),картофель,2024,,,
Агинский Бурятский округ (Забайкальский край),картофель,2025,,,
Агинский Бурятский округ (Забайкальский край),конопля среднерусская - в переводе на волокно,2000,,,
Агинский Бурятский округ (Забайкальский край),конопля среднерусская - в переводе на волокно,2001,,,
Агинский Бурятский округ (Забайкальский край),конопля среднерусская - в переводе на волокно,2002,,,
Агинский Бурятский округ (Забайкальский край),конопля среднерусская - в переводе на волокно,2003,,,
Агинский Бурятский округ (Забайкальский край),конопля среднерусская - в переводе на волокно,2004,,,
Агинский Бурятский округ (Забайкальский край),конопля среднерусская - в переводе на волокно,2005,,,
Агинский Бурятский округ (Забайкальский край),конопля среднерусская - в переводе на волокно,2006,,,
Агинский Бурятский округ (Забайкальский край),конопля среднерусская - в переводе на волокно,2007,,,
Агинский Бурятский округ (Забайкальский край),конопля среднерусская - в переводе на волокно,2008,,,
Агинский Бурятский округ (Забайкальский край),конопля среднерусская - в переводе на волокно,2009,,,
Агинский Бурятский округ (Забайкальский край),конопля среднерусская - в переводе на волокно,2010,,,
Агинский Бурятский округ (Забайкальский край),конопля среднерусская - в переводе на волокно,2011,,,
Агинский Бурятский округ (Забайкальский край),конопля среднерусская - в переводе на волокно,2012,,,
Агинский Бурятский округ (Забайкальский край),конопля среднерусская - в переводе на волокно,2013,,,
Агинский Бурятский округ (Забайкальский край),конопля среднерусская - в переводе на волокно,2014,,,
Агинский Бурятский округ (Забайкальский край),конопля среднерусская - в переводе на волокно,2015,,,
Агинский Бурятский округ (Забайкальский край),конопля среднерусская - в переводе на волокно,2016,,,
Агинский Бурятский округ (Забайкальский край),конопля среднерусская - в переводе на волокно,2017,,,
Агинский Бурятский округ (Забайкальский край),конопля среднерусская - в переводе на волокно,2018,,,
Агинский Бурятский округ (Забайкальский край),конопля среднерусская - в переводе на волокно,2019,,,
Агинский Бурятский округ (Забайкальский край),конопля среднерусская - в переводе на волокно,2020,,,
Агинский Бурятский округ (Забайкальский край),конопля среднерусская - в переводе на волокно,2021,,,
Агинский Бурятский округ (Забайкальский край),конопля среднерусская - в переводе на волокно,2022,,,
Агинский Бурятский округ (Забайкальский край),конопля среднерусская - в переводе на волокно,2023,,,
Агинский Бурятский округ (Забайкальский край),конопля среднерусская - в переводе на волокно,2024,,,
Агинский Бурятский округ (Забайкальский край),конопля среднерусская - в переводе на волокно,2025,,,
Агинский Бурятский округ (Забайкальский край),кукуруза на  корм,2000,,,
Агинский Бурятский округ (Забайкальский край),кукуруза на  корм,2001,,,
Агинский Бурятский округ (Забайкальский край),кукуруза на  корм,2002,,,
Агинский Бурятский округ (Забайкальский край),кукуруза на  корм,2003,,,
